id,tanggal,tanggal_jenis,tier,prioritas,judul,kategori,aktor,kecamatan,nilai_rp,jenis_nilai,status,status_enum,sentimen,tipe,grup,sumber,sumber_jenis,verifikasi,verifikasi_status,url,dampak,urgensi,catatan
11,2026-08-13,kejadian,P5,2,Penutupan TMMD ke-129 Kedungadem,Infrastruktur & Energi,Kodim 0813; Pemkab,Kedungadem,,,Selesai,Selesai,Positif,Prestasi,,Pemkab,resmi,belum,belum,,2,1,
12,,,P4,4,Raperda Trantibum & Linmas,Pemerintahan,DPRD; Satpol PP,,,,Pembahasan,Belum tuntas,Netral,Kebijakan,,DPRD,resmi,belum,belum,,2,2,
13,,,P2,9,RSUD Temayang belum beroperasi penuh,Sosial & Kesehatan,Dinkes; RSUD,Temayang,,,Belum tuntas,Belum tuntas,Negatif,Fakta,,Media lokal,generik,belum,belum,,3,3,Akses layanan kesehatan wilayah selatan
14,2026-08-20,kejadian,P2,9,"Daging sapi langka, pedagang jagal tutup usaha",Ekonomi & Pangan,Disnakkan; pedagang,,140000,harga,Berlangsung,Berjalan,Negatif,Fakta,,Radar Bojonegoro,media,bertautan,terbit,https://radarbojonegoro.jawapos.com/bojonegoro/2608210001/daging-sapi-langka-jagal-tutup-usaha-pedagang-sepakat-tutup,3,3,Harga eceran sekitar Rp140.000/kg
15,,,P1,16,Krisis lapangan kerja,Ekonomi & Pangan,Disnaker; Pemkab,,,,Berlangsung,Berjalan,Negatif,Fakta,,Media sosial,sosial,belum,belum,,4,4,Keluhan dominan warganet; minim serapan industri
16,,,P4,4,Parkir QRIS plat luar daerah & lapak liar,Ekonomi & Pangan,Dishub; Satpol PP,,,,Berlangsung,Berjalan,Negatif,Fakta,,Media sosial,sosial,belum,belum,,2,2,Keluhan rutin pusat kota
17,,,P5,2,"Panen tembakau, harga petani membaik",Ekonomi & Pangan,Dinas Pertanian,,,,Musim panen,Berjalan,Positif,Fakta,,Pemkab,resmi,belum,belum,,2,1,
18,,,P5,2,Sentra peternakan rakyat (SPR) Mega Jaya Kasiman,Ekonomi & Pangan,Pemkab,Kasiman,,,Beroperasi,Berjalan,Positif,Prestasi,,Pemkab,resmi,belum,belum,,2,1,
19,,,P5,1,Jaringan gas kota (jargas) bersama BPH Migas,Infrastruktur & Energi,BPH Migas; Pemkab,,,,Program,Berjalan,Positif,Kebijakan,,Pemkab,resmi,belum,belum,,1,1,
20,,,P5,1,"Sertipikat aset KAI Daop 8 senilai Rp142,16 M",Pemerintahan,KAI; BPN,,142160000000,aset,Selesai,Selesai,Positif,Prestasi,,Media lokal,generik,belum,belum,,1,1,
21,,,P3,6,Bejo Career Day (bursa kerja),Ekonomi & Pangan,Disnaker; Pemkab,,,,Agenda rutin,Berjalan,Positif,Agenda,,Pemkab,resmi,belum,belum,,2,3,Respons atas keluhan lapangan kerja
22,,,P5,2,Survei seismik migas Bubulan,Infrastruktur & Energi,Pertamina; Pemkab,Bubulan,,,Berlangsung,Berjalan,Netral,Fakta,,Media lokal,generik,belum,belum,,2,1,Potensi dampak sosial-lingkungan
23,2026-09-15,kejadian,P3,6,MBG wajib dikonsumsi di sekolah,Sosial & Kesehatan,SPPG; Dinas Pendidikan,,,,Kebijakan berjalan,Berjalan,Kontroversi,Kebijakan,,iNews Bojonegoro,media,bertautan,terbit,https://bojonegoro.inews.id/read/716097/mbg-di-bojonegoro-wajib-dikonsumsi-di-sekolah-jika-tak-dimakan-harus-dikembalikan-ke-sppg,3,2,Dikonsumsi sebelum 10.00 WIB; sisa dikembalikan ke SPPG
24,,,P2,9,Bansos stunting baru tersalur separuh,Sosial & Kesehatan,Dinsos; Dinkes,,,,Berlangsung,Berjalan,Negatif,Fakta,,Media lokal,generik,belum,belum,,3,3,Realisasi penyaluran belum tuntas
25,2026-09-14,kejadian,P4,4,Operasi Pekat: pesta miras di rumah kos,Sosial & Kesehatan,Satpol PP,,,,Operasi,Berjalan,Negatif,Fakta,,iNews Bojonegoro,media,bertautan,terbit,https://bojonegoro.inews.id/read/715748/operasi-pekat-satpol-pp-bojonegoro-temukan-10-orang-bukan-pasutri-pesta-miras-di-rumah-kos,2,2,10 orang terjaring
26,,,P4,4,Kenakalan remaja,Sosial & Kesehatan,Polres; Pemkab,,,,Berlangsung,Berjalan,Negatif,Fakta,,Media sosial,sosial,belum,belum,,2,2,
27,,,P4,4,Regulasi sound horeg,Sosial & Kesehatan,DPRD; Satpol PP,,,,Wacana regulasi,Wacana,Kontroversi,Kebijakan,,Media lokal,generik,belum,belum,,2,2,Benturan budaya vs ketertiban
28,,,P5,1,Reakreditasi RSUD Padangan,Sosial & Kesehatan,RSUD Padangan,Padangan,,,Proses,Belum tuntas,Positif,Prestasi,,Media lokal,generik,belum,belum,,1,1,
29,,,P5,1,Anggrek langka di hutan jati,Bencana & Lingkungan,Komunitas; Perhutani,,,,Konservasi,Berjalan,Positif,Fakta,,Media lokal,generik,belum,belum,,1,1,
30,2026-09-15,kejadian,P1,16,"Tanggap darurat kekeringan, 77.000 liter air bersih",Bencana & Lingkungan,Kodim 0813; BPBD,,,,Darurat,Darurat,Negatif,Fakta,,iNews Bojonegoro,media,bertautan,terbit,https://bojonegoro.inews.id/read/715941/tanggap-darurat-kekeringan-kodim-bojonegoro-salurkan-77000-liter-air-bersih,4,4,Dampak El Nino/kemarau panjang
31,,,P1,12,Petani: 'rencana hanya jadi kertas' di musim kemarau,Bencana & Lingkungan,Petani; Dinas Pertanian,,,,Berlangsung,Berjalan,Negatif,Fakta,,Media lokal,generik,belum,belum,,4,3,Kritik atas respons program pertanian
32,,,P3,6,Peringatan angin kencang BMKG,Bencana & Lingkungan,BMKG,,,,Peringatan,Peringatan,Netral,Fakta,,BMKG,resmi,belum,belum,,2,3,
33,,,P4,4,Kebakaran Dander,Bencana & Lingkungan,Damkar,Dander,,,Ditangani,Selesai,Negatif,Fakta,Kebakaran (4 peristiwa),Media lokal,generik,belum,belum,,2,2,
34,,,P4,4,Kebakaran SMKN 1 Baureno,Bencana & Lingkungan,Damkar,Baureno,,,Ditangani,Selesai,Negatif,Fakta,Kebakaran (4 peristiwa),Media lokal,generik,belum,belum,,2,2,
35,,,P4,4,Kebakaran Temayang,Bencana & Lingkungan,Damkar,Temayang,,,Ditangani,Selesai,Negatif,Fakta,Kebakaran (4 peristiwa),Media lokal,generik,belum,belum,,2,2,
36,,,P4,4,Kebakaran Dengok–Padangan,Bencana & Lingkungan,Damkar,Padangan,,,Ditangani,Selesai,Negatif,Fakta,Kebakaran (4 peristiwa),Media lokal,generik,belum,belum,,2,2,
37,,,P3,6,Kecelakaan bus Dali Prima vs Avanza,Kamtibmas & Laka,Polantas,,,,Ditangani,Selesai,Negatif,Fakta,,Media lokal,generik,belum,belum,,3,2,
38,2026-09-14,kejadian,P4,4,Innova terperosok di jalan Bojonegoro–Ngawi,Kamtibmas & Laka,Polantas,,,,Ditangani,Selesai,Negatif,Fakta,,iNews Bojonegoro,media,bertautan,terbit,https://bojonegoro.inews.id/read/715788/diduga-sopir-mengantuk-kijang-innova-terperosok-hingga-rusak-berat-di-jalan-bojonegoro-ngawi,2,2,Diduga sopir mengantuk
39,,,P5,2,Temuan mayat di Malo,Kamtibmas & Laka,Polres,Malo,,,Penyelidikan,Proses hukum,Negatif,Fakta,Temuan mayat (2 peristiwa),Media lokal,generik,belum,belum,,2,1,
40,,,P5,2,Temuan mayat di Kalitidu,Kamtibmas & Laka,Polres,Kalitidu,,,Penyelidikan,Proses hukum,Negatif,Fakta,Temuan mayat (2 peristiwa),Media lokal,generik,belum,belum,,2,1,
41,2026-09-18,terjadwal,P5,1,Konser NDX AKA di GOR Dabonsia,Agenda & Prestasi,Polantas; EO,,,,Terjadwal,Terjadwal,Netral,Agenda,,Media lokal,generik,belum,belum,,1,1,Pengaturan lalu lintas & keamanan
42,2026-09-18,terjadwal,P5,1,Sunthai Street Food Festival KDS (18–27 Sep),Agenda & Prestasi,Pemkab; EO,,,,Terjadwal,Terjadwal,Netral,Agenda,,Media lokal,generik,belum,belum,,1,1,
43,,,P5,1,HUT Bojonegoro & Sarasehan Budaya,Agenda & Prestasi,Pemkab,,,,Terjadwal,Terjadwal,Positif,Agenda,,Pemkab,resmi,belum,belum,,1,1,
44,,,P5,1,MTQ 2026,Agenda & Prestasi,Pemkab,,,,Terjadwal,Terjadwal,Positif,Agenda,,Pemkab,resmi,belum,belum,,1,1,
45,,,P5,1,PKKMB Unigoro 1.075 mahasiswa,Agenda & Prestasi,Unigoro,,,,Selesai,Selesai,Positif,Agenda,,Media lokal,generik,belum,belum,,1,1,
46,,,P5,1,Jamsostek Award peringkat 2 Jatim,Agenda & Prestasi,BPJS Ketenagakerjaan; Pemkab,,,,Tercapai,Selesai,Positif,Prestasi,,Media lokal,generik,belum,belum,,1,1,
47,,,P5,1,Turnamen desa pakai teknologi VAR,Agenda & Prestasi,Pemkab,,,,Berlangsung,Berjalan,Positif,Prestasi,,Media lokal,generik,belum,belum,,1,1,
