tier,prioritas,dampak,urgensi,judul,kategori,grup,status_enum,tipe,aktor
P4,4,2,2,Kebakaran Dengok–Padangan,Bencana & Lingkungan,Kebakaran (4 peristiwa),Selesai,Fakta,Damkar
P4,4,2,2,Innova terperosok di jalan Bojonegoro–Ngawi,Kamtibmas & Laka,,Selesai,Fakta,Polantas
P5,2,2,1,Penutupan TMMD ke-129 Kedungadem,Infrastruktur & Energi,,Selesai,Prestasi,Kodim 0813; Pemkab
P5,2,2,1,"Panen tembakau, harga petani membaik",Ekonomi & Pangan,,Berjalan,Fakta,Dinas Pertanian
P5,2,2,1,Sentra peternakan rakyat (SPR) Mega Jaya Kasiman,Ekonomi & Pangan,,Berjalan,Prestasi,Pemkab
P5,2,2,1,Survei seismik migas Bubulan,Infrastruktur & Energi,,Berjalan,Fakta,Pertamina; Pemkab
P5,2,2,1,Temuan mayat di Malo,Kamtibmas & Laka,Temuan mayat (2 peristiwa),Proses hukum,Fakta,Polres
P5,2,2,1,Temuan mayat di Kalitidu,Kamtibmas & Laka,Temuan mayat (2 peristiwa),Proses hukum,Fakta,Polres
P5,2,1,2,Kemenham minta produk hukum daerah perhatikan HAM,Pemerintahan,,Wacana,Kebijakan,Kemenham Jatim; Pemkab
P5,1,1,1,Rapat paripurna DPRD,Pemerintahan,,Selesai,Agenda,Abdullah Umar; Setyo Wahono; Nurul Azizah
P5,1,1,1,Jaringan gas kota (jargas) bersama BPH Migas,Infrastruktur & Energi,,Berjalan,Kebijakan,BPH Migas; Pemkab
P5,1,1,1,"Sertipikat aset KAI Daop 8 senilai Rp142,16 M",Pemerintahan,,Selesai,Prestasi,KAI; BPN
P5,1,1,1,Reakreditasi RSUD Padangan,Sosial & Kesehatan,,Belum tuntas,Prestasi,RSUD Padangan
P5,1,1,1,Anggrek langka di hutan jati,Bencana & Lingkungan,,Berjalan,Fakta,Komunitas; Perhutani
P5,1,1,1,Konser NDX AKA di GOR Dabonsia,Agenda & Prestasi,,Terjadwal,Agenda,Polantas; EO
P5,1,1,1,Sunthai Street Food Festival KDS (18–27 Sep),Agenda & Prestasi,,Terjadwal,Agenda,Pemkab; EO
P5,1,1,1,HUT Bojonegoro & Sarasehan Budaya,Agenda & Prestasi,,Terjadwal,Agenda,Pemkab
P5,1,1,1,MTQ 2026,Agenda & Prestasi,,Terjadwal,Agenda,Pemkab
P5,1,1,1,PKKMB Unigoro 1.075 mahasiswa,Agenda & Prestasi,,Selesai,Agenda,Unigoro
P5,1,1,1,Jamsostek Award peringkat 2 Jatim,Agenda & Prestasi,,Selesai,Prestasi,BPJS Ketenagakerjaan; Pemkab
P5,1,1,1,Turnamen desa pakai teknologi VAR,Agenda & Prestasi,,Berjalan,Prestasi,Pemkab
